variable;localidad;year_start;year_end;mean;std;n;ci_90_lower;ci_90_upper;ci_95_lower;ci_95_upper;ci_99_lower;ci_99_upper
CO;USAQUEN;2020;2020;557,6042212825934;322,82379873974617;8514;551,8488513963615;563,3595911688252;550,7460462751446;564,4623962900421;548,5903119707964;566,6181305943903
CO;USAQUEN;2020;2021;540,0005485296799;333,9103799892181;18649;535,978466003458;544,0226310559018;535,2078686099651;544,7932284493947;533,701663531133;546,2994335282268
CO;USAQUEN;2020;2022;545,375541927278;352,9199918261459;27282;541,8609074687943;548,8901763857618;541,1875530672199;549,5635307873362;539,8714506898939;550,8796331646622
CO;USAQUEN;2020;2023;529,0231830837789;349,068159402068;35904;525,9929413080077;532,0534248595501;525,4123987406709;532,6339674268869;524,2777157623387;533,7686504052191
CO;USAQUEN;2021;2021;525,2124212659102;342,26362030506664;10135;519,6197946868052;530,8050478450151;518,548208906247;531,8766336255733;516,4535579646598;533,9712845671605
CO;USAQUEN;2021;2022;539,8280687798381;365,63076833243196;18768;535,4378877089326;544,2182498507435;534,5967662162222;545,0593713434539;532,9527159570029;546,7034216026733
CO;USAQUEN;2021;2023;520,1389567520993;356,3719134912088;27390;516,5969498827267;523,6809636214718;515,9183514864629;524,3595620177356;514,5919997543219;525,6859137498766
CO;USAQUEN;2022;2022;556,9865985555426;390,60956881426716;8633;550,0709028569747;563,9022942541105;548,7457677279326;565,2274293831526;546,1554346349794;567,8177624761058
CO;USAQUEN;2022;2023;517,1589762915097;364,38094109215297;17255;512,595994386673;521,7219581963463;511,721758502974;522,5961940800454;510,01297159794024;524,3049809850792
CO;USAQUEN;2023;2023;477,28054170494084;331,3341485569666;8622;471,41056853463726;483,1505148752444;470,2858068295882;484,2752765802935;468,08715703004924;486,47392637983245
CO;USME;2020;2020;656,9130508816122;369,83127652821025;19850;652,5951675111635;661,2309342520609;651,7679018896895;662,0581998735349;650,1509409771315;663,6751607860929
CO;USME;2020;2021;623,0343676320525;367,0965560143829;28341;619,4475096759031;626,6212255882019;618,7603199332299;627,3084153308752;617,417178387218;628,6515568768871
CO;USME;2020;2022;611,1064515268704;369,5062960442405;36434;607,9222047670345;614,2906982867063;607,3121579117815;614,9007451419593;606,1198088608751;616,0930941928657
CO;USME;2020;2023;596,5469649652272;363,89585954174566;44719;593,7164378064189;599,3774921240355;593,1741624075937;599,9197675228606;592,1142818072506;600,9796481232038
CO;USME;2021;2021;543,8338185207866;348,00453632989513;8491;537,6211221073327;550,0465149342406;536,430686495359;551,2369505462142;534,103653358389;553,5639836831842
CO;USME;2021;2022;556,278846775808;361,57665847687844;16584;551,6602796384856;560,8974139131304;550,7753903417895;561,7823032098265;549,0457743742785;563,5119191773375
CO;USME;2021;2023;548,3638130314849;351,7371691850285;24869;544,694941217028;552,0326848459418;543,9920326969518;552,7355933660181;542,6181583961543;554,1094676668156
CO;USME;2022;2022;569,3359003916966;374,86665242176207;8093;562,4810336554663;576,1907671279268;561,1675361912814;577,5042645921117;558,5999234891707;580,0718772942224
CO;USME;2022;2023;550,7123405312004;353,6445380313862;16378;546,1667705804957;555,2579104819051;545,2958659327029;556,128815129698;543,5935826817847;557,8310983806161
CO;USME;2023;2023;532,5203707121303;330,616867487354;8285;526,5451414080918;538,4956000161689;525,4002017422546;539,6405396820061;523,1620934884348;541,8786479358258
NO2;Todas;2020;2020;32,85176301659286;17,614972834258044;112458;32,765362242325935;32,93816379085979;32,74880988407328;32,95471614911244;32,716458824993744;32,98706720819198
NO2;Todas;2020;2021;30,14765034753416;18,20080001784729;274937;30,090554752522934;30,204745942545387;30,07961667958298;30,21568401548534;30,058238724640546;30,237061970427774
NO2;Todas;2020;2022;29,916230999600636;17,97084178089396;410644;29,870103074879303;29,96235892432197;29,86126614912624;29,97119585007503;29,843994818521384;29,988467180679887
NO2;Todas;2020;2023;29,54063880058599;17,9353329863626;551536;29,500915026998577;29,580362574173407;29,493304980498017;29,587972620673966;29,478431537506186;29,602846063665798
NO2;Todas;2021;2021;28,276029383981932;18,36380627448581;162479;28,20109281291523;28,350965955048633;28,186736796048727;28,365321971915137;28,158678527025415;28,39338024093845
NO2;Todas;2021;2022;28,80912315561429;17,97922749492744;298186;28,75496597975069;28,863280331477892;28,74459083884927;28,873655472379312;28,72431311667206;28,89393319455652
NO2;Todas;2021;2023;28,692583541420884;17,918331977112985;439078;28,648104551828382;28,737062531013386;28,639583522072805;28,745583560768964;28,622929598216366;28,762237484625402
NO2;Todas;2022;2022;29,44738457854053;17,486374137719437;135707;29,36930654570147;29,525462611379588;29,354348669402583;29,540420487678475;29,325114038783088;29,56965511829797
NO2;Todas;2022;2023;28,937274603017368;17,64686152497834;276599;28,882083269650618;28,992465936384118;28,871510005520594;29,00303920051414;28,850845053083294;29,023704152951442
NO2;Todas;2023;2023;28,445937306021634;17,78630985350895;140892;28,367995081053078;28,52387953099019;28,353063229433612;28,538811382609655;28,323879474497645;28,567995137545623
NO2;BARRIOS UNIDOS;2020;2020;32,03774835921136;15,012926179681235;30077;31,89535533130556;32,18014138711717;31,868074999221818;32,20742171920091;31,81475458743367;32,26074213098906
NO2;BARRIOS UNIDOS;2020;2021;30,5238510395763;15,23083797059597;41161;30,400364997535714;30,647337081616886;30,376707329693176;30,670994749459425;30,330468143891764;30,717233935260836
NO2;BARRIOS UNIDOS;2020;2022;29,75024617260213;14,991822929791034;48887;29,63871577840053;29,861776566803726;29,617348739003496;29,88314360620076;29,575586843700403;29,924905501503854
