;variable;localidad;year_start;year_end;mean;std;n;confidence_level;ci_lower;ci_upper
1996;PM25;USAQUEN;2021;2022;12.171615351543497;8.100521662378272;18620;90%;12.073965403843593;12.269265299243402
1997;PM25;USAQUEN;2021;2022;12.171615351543497;8.100521662378272;18620;99%;12.018688146012751;12.324542557074244
1998;PM25;USAQUEN;2021;2023;11.61974074118659;8.134818864709395;27216;95%;11.523090454789614;11.716391027583565
1999;PM25;USAQUEN;2021;2023;11.61974074118659;8.134818864709395;27216;90%;11.538630110340113;11.700851372033066
2000;PM25;USAQUEN;2021;2023;11.61974074118659;8.134818864709395;27216;99%;11.492717474112036;11.746764008261144
2001;PM25;USAQUEN;2022;2022;13.076769005853192;8.474926761884038;8546;95%;12.897062367227763;13.256475644478622
2002;PM25;USAQUEN;2022;2022;13.076769005853192;8.474926761884038;8546;90%;12.92595945310609;13.227578558600294
2003;PM25;USAQUEN;2022;2022;13.076769005853192;8.474926761884038;8546;99%;12.840575143236396;13.312962868469988
2004;PM25;USAQUEN;2022;2023;11.74667215554869;8.384971110332266;17142;95%;11.621141561564697;11.872202749532685
2005;PM25;USAQUEN;2022;2023;11.74667215554869;8.384971110332266;17142;90%;11.641325305565275;11.852019005532107
2006;PM25;USAQUEN;2022;2023;11.74667215554869;8.384971110332266;17142;99%;11.581690268106263;11.911654042991119
2007;PM25;USAQUEN;2023;2023;10.424312024941166;8.080853226808388;8596;95%;10.253460732413728;10.595163317468604
2008;PM25;USAQUEN;2023;2023;10.424312024941166;8.080853226808388;8596;90%;10.280933838181578;10.567690211700754
2009;PM25;USAQUEN;2023;2023;10.424312024941166;8.080853226808388;8596;99%;10.199757117942122;10.64886693194021
2010;PM25;USME;2020;2020;24.13862300268261;9.289777238807405;20061;95%;24.01006375951938;24.26718224584584
2011;PM25;USME;2020;2020;24.13862300268261;9.289777238807405;20061;90%;24.030734212175787;24.246511793189434
2012;PM25;USME;2020;2020;24.13862300268261;9.289777238807405;20061;99%;23.969661635167245;24.307584370197976
2013;PM25;USME;2020;2021;21.6174233682105;8.684492523921358;28612;95%;21.516791206659114;21.718055529761884
2014;PM25;USME;2020;2021;21.6174233682105;8.684492523921358;28612;90%;21.532971034263515;21.701875702157484
2015;PM25;USME;2020;2021;21.6174233682105;8.684492523921358;28612;99%;21.485167061441565;21.749679674979433
2016;PM25;USME;2020;2022;19.863476330758303;9.762520499400217;36952;95%;19.763934573984546;19.96301808753206
2017;PM25;USME;2020;2022;19.863476330758303;9.762520499400217;36952;90%;19.77993889711035;19.947013764406258
2018;PM25;USME;2020;2022;19.863476330758303;9.762520499400217;36952;99%;19.73265381454353;19.994298846973077
2019;PM25;USME;2020;2023;18.41291958473227;10.169409464533135;45391;95%;18.319363824770857;18.50647534469368
